family,seed,C,class_weight,selection_macro_f1,clean_macro_f1,converged,max_iterations
pooled_linear,17,0.1,none,0.46307476764609345,0.4630172102376391,True,105
pooled_linear,17,0.1,balanced,0.5351254498390554,0.5378146171326997,True,89
pooled_linear,17,1.0,none,0.5042072007094669,0.5108921075883511,True,255
pooled_linear,17,1.0,balanced,0.5270577684377616,0.5221910083612211,True,316
pooled_linear,17,10.0,none,0.4967317610050235,0.5071025661490594,True,590
pooled_linear,17,10.0,balanced,0.5032930997495471,0.505663789715589,True,658
lexical_multimodal_linear,17,0.1,none,0.48530491367175954,0.48396099180412905,True,102
lexical_multimodal_linear,17,0.1,balanced,0.5325713441433338,0.5344332601844314,True,100
lexical_multimodal_linear,17,1.0,none,0.4915202163355938,0.4993317568350529,True,215
lexical_multimodal_linear,17,1.0,balanced,0.5047710230481246,0.5009866489539115,True,252
lexical_multimodal_linear,17,10.0,none,0.4805807365808806,0.48102446323555004,True,282
lexical_multimodal_linear,17,10.0,balanced,0.48766435100893,0.49114187059414177,True,266
pooled_linear,29,0.1,none,0.46071922265242865,0.45825579248713416,True,126
pooled_linear,29,0.1,balanced,0.5356252088190483,0.5411902036389926,True,93
pooled_linear,29,1.0,none,0.5084304560742168,0.5123857631527077,True,284
pooled_linear,29,1.0,balanced,0.5142976870285957,0.5075969622753248,True,262
pooled_linear,29,10.0,none,0.5010041199665816,0.5035550961598697,True,593
pooled_linear,29,10.0,balanced,0.49762135381316075,0.5023800142066396,True,699
lexical_multimodal_linear,29,0.1,none,0.48285258293184175,0.48160187573692115,True,101
lexical_multimodal_linear,29,0.1,balanced,0.5353984885259291,0.544195632051533,True,75
lexical_multimodal_linear,29,1.0,none,0.49504239984487564,0.4978255054251865,True,237
lexical_multimodal_linear,29,1.0,balanced,0.504943748808547,0.509392911869692,True,197
lexical_multimodal_linear,29,10.0,none,0.4836234519369283,0.48979532882233645,True,256
lexical_multimodal_linear,29,10.0,balanced,0.4896927718661446,0.48986010511528666,True,308
pooled_linear,43,0.1,none,0.46065931929528203,0.4650115879131423,True,104
pooled_linear,43,0.1,balanced,0.5314590572032181,0.5371881840539854,True,103
pooled_linear,43,1.0,none,0.5007138019018705,0.5015402431962941,True,291
pooled_linear,43,1.0,balanced,0.5170049390682792,0.5131137789314298,True,293
pooled_linear,43,10.0,none,0.4938267224660668,0.4932230407457488,True,573
pooled_linear,43,10.0,balanced,0.4921020264751784,0.49829208117089,True,661
lexical_multimodal_linear,43,0.1,none,0.48033699466730106,0.4795306940845165,True,110
lexical_multimodal_linear,43,0.1,balanced,0.5324555629012011,0.5331381350289942,True,92
lexical_multimodal_linear,43,1.0,none,0.49133162758701715,0.5015051433385308,True,259
lexical_multimodal_linear,43,1.0,balanced,0.5072821349277962,0.5096781597421242,True,222
lexical_multimodal_linear,43,10.0,none,0.48797614734269446,0.49643221520470754,True,287
lexical_multimodal_linear,43,10.0,balanced,0.5007424523319153,0.5100652844250869,True,302
