family,seed,alpha,selection_mae
pooled_linear,17,10.0,0.6853547716872137
pooled_linear,17,100.0,0.7093419039537456
pooled_linear,17,1000.0,0.7498724959824254
lexical_multimodal_linear,17,10.0,0.6858592182397842
lexical_multimodal_linear,17,100.0,0.6905116438865662
lexical_multimodal_linear,17,1000.0,0.736898198723793
pooled_linear,29,10.0,0.6854503725425132
pooled_linear,29,100.0,0.710143646821489
pooled_linear,29,1000.0,0.7501244056207131
lexical_multimodal_linear,29,10.0,0.6849070191383362
lexical_multimodal_linear,29,100.0,0.690402090549469
lexical_multimodal_linear,29,1000.0,0.7370961010456085
pooled_linear,43,10.0,0.6875910271497001
pooled_linear,43,100.0,0.7100822710815444
pooled_linear,43,1000.0,0.7499245502636271
lexical_multimodal_linear,43,10.0,0.6867354959249496
lexical_multimodal_linear,43,100.0,0.6909490823745728
lexical_multimodal_linear,43,1000.0,0.7370531260967255
