model,seed,condition,accuracy,macro_f1,weighted_f1,mae,pearson
mlp,17,clean,0.5810439560439561,0.5530160308488236,0.5790331899140815,0.6697088479995728,0.5404042941594794
mlp,17,text_10_front,0.5769230769230769,0.5475189737940948,0.5748225477605465,0.6745413541793823,0.5294490211528788
mlp,17,text_10_middle,0.5645604395604396,0.5359947772869188,0.5619794583348701,0.678032398223877,0.5287770397443335
mlp,17,text_10_back,0.554945054945055,0.5271330582646756,0.5538592993668273,0.6810609102249146,0.5252934484299427
mlp,17,text_30_front,0.5563186813186813,0.5295982941694661,0.5561599236193501,0.699383020401001,0.4857759353863067
mlp,17,text_30_middle,0.5480769230769231,0.525598861191951,0.5497213182391235,0.6932182312011719,0.504130328148502
mlp,17,text_30_back,0.5508241758241759,0.527729991001422,0.553037379382022,0.6823195815086365,0.5237306259064722
mlp,17,text_50_front,0.5425824175824175,0.5207739893735663,0.5464355150326755,0.7282331585884094,0.45423091656942927
mlp,17,text_50_middle,0.5233516483516484,0.5063360998117327,0.52869978572049,0.709991455078125,0.4830733682399862
mlp,17,text_50_back,0.5343406593406593,0.5165291357088819,0.5396578939484489,0.7025058269500732,0.48688624239291795
mlp,17,audio_10_front,0.5755494505494505,0.5482213411230731,0.5737762537516438,0.6696669459342957,0.5401720881971548
mlp,17,audio_10_middle,0.5824175824175825,0.5537440615437038,0.5799319119418788,0.6681786775588989,0.5406875594740691
mlp,17,audio_10_back,0.5769230769230769,0.5484075473905429,0.574467088714128,0.6698671579360962,0.5393448769608896
mlp,17,audio_30_front,0.5728021978021978,0.5477173964591516,0.5718010086228382,0.6722820401191711,0.5371608637917086
mlp,17,audio_30_middle,0.5796703296703297,0.5520798889364231,0.5779555270834594,0.6684442758560181,0.54015950654239
mlp,17,audio_30_back,0.570054945054945,0.541182370519084,0.567327204824967,0.6686568856239319,0.5405223961131483
mlp,17,audio_50_front,0.5782967032967034,0.5543584859704197,0.5781477428163346,0.6742523312568665,0.5355474401284019
mlp,17,audio_50_middle,0.5824175824175825,0.5540458436895884,0.5798323879931171,0.6688310503959656,0.5391908105702232
mlp,17,audio_50_back,0.5741758241758241,0.5428543069566399,0.569800052538012,0.6687750220298767,0.5381061187218156
mlp,17,vision_10_front,0.5810439560439561,0.5528052377461009,0.5783852771358454,0.6692355871200562,0.54117885817338
mlp,17,vision_10_middle,0.5851648351648352,0.5571992110453649,0.5826923076923077,0.6696004271507263,0.5403677838647558
mlp,17,vision_10_back,0.5851648351648352,0.5575740743312364,0.5835533521206543,0.6705700159072876,0.5400562107239119
mlp,17,vision_30_front,0.5837912087912088,0.5546676316366156,0.5807538337079491,0.6692211031913757,0.5404292608561664
mlp,17,vision_30_middle,0.5837912087912088,0.5557001940043276,0.5812052828444588,0.6687666773796082,0.5405188365674737
mlp,17,vision_30_back,0.5865384615384616,0.5598969365495875,0.585728294166219,0.6725565791130066,0.5377002516432364
mlp,17,vision_50_front,0.5865384615384616,0.5571222266606921,0.5829083311377524,0.6690958738327026,0.5399097036286988
mlp,17,vision_50_middle,0.5796703296703297,0.5503729304312651,0.5768161406429533,0.6688371896743774,0.5400264130199532
mlp,17,vision_50_back,0.5824175824175825,0.5551569735254125,0.5807819571862408,0.6724249720573425,0.5367867295623213
mlp,17,audio_vision_30_sync,0.5755494505494505,0.5472378867973372,0.5736159992699401,0.6677709817886353,0.5402302628568042
mlp,17,text_audio_30_sync,0.5412087912087912,0.5194740759688529,0.5432233811802694,0.6923500299453735,0.5037191408180991
mlp,17,audio_vision_30_offset,0.5714285714285714,0.5473657383558952,0.5714861477040044,0.6754637360572815,0.5343536691503722
mlp,17,audio_30_two_blocks,0.5728021978021978,0.5430510097297258,0.5702662765201028,0.6714110970497131,0.5375944008873269
mlp,29,clean,0.5906593406593407,0.5458417882063202,0.5739605150258537,0.6648115515708923,0.540896793316167
mlp,29,text_10_front,0.5892857142857143,0.5454638205621657,0.5750471518933038,0.668718159198761,0.5298282993648082
mlp,29,text_10_middle,0.5865384615384616,0.5423844785388592,0.5714340249254448,0.6742466688156128,0.5298280884876413
mlp,29,text_10_back,0.5769230769230769,0.5377214905956614,0.5650075536466481,0.6735570430755615,0.5232836289413114
mlp,29,text_30_front,0.5659340659340659,0.5223397274589723,0.5544584783434092,0.6895532608032227,0.4873275246366108
mlp,29,text_30_middle,0.5728021978021978,0.5372873124475627,0.56463013008588,0.6922724843025208,0.4970908556654463
mlp,29,text_30_back,0.5782967032967034,0.5460795655786271,0.5716379409733373,0.6788361072540283,0.5178270975490096
mlp,29,text_50_front,0.5521978021978022,0.5198039208106816,0.5478998764512596,0.7258374691009521,0.45201325049562285
mlp,29,text_50_middle,0.554945054945055,0.5314373836102831,0.5543024021226529,0.7134721279144287,0.47147943579416196
mlp,29,text_50_back,0.5659340659340659,0.5428706639824394,0.5645724222832091,0.695131242275238,0.4841394814291487
mlp,29,audio_10_front,0.5892857142857143,0.5462308296019952,0.5745108610783345,0.6652403473854065,0.5394909652943125
mlp,29,audio_10_middle,0.5879120879120879,0.5437965298596011,0.5723698415462223,0.6641480326652527,0.5419475189492066
mlp,29,audio_10_back,0.5879120879120879,0.5415467716694432,0.5701708181262929,0.664979100227356,0.5391537194964381
mlp,29,audio_30_front,0.5934065934065934,0.5537880781283763,0.581137921800858,0.6677518486976624,0.5377672066221141
mlp,29,audio_30_middle,0.5906593406593407,0.5441542690147071,0.5736695099489212,0.6634016036987305,0.5420640318401763
mlp,29,audio_30_back,0.5892857142857143,0.5401646632980782,0.5704370496904156,0.6642141938209534,0.53925698606211
mlp,29,audio_50_front,0.5934065934065934,0.5536551932551331,0.5817510621428503,0.6688652634620667,0.5373103521959727
mlp,29,audio_50_middle,0.5892857142857143,0.5422755535113805,0.5727101332941336,0.6635944247245789,0.5425925377474085
mlp,29,audio_50_back,0.5879120879120879,0.5413709005932074,0.57024749759818,0.6645488739013672,0.5383003858742349
mlp,29,vision_10_front,0.5934065934065934,0.5501358024449874,0.5777967489480259,0.6649347543716431,0.5410279806981958
mlp,29,vision_10_middle,0.5906593406593407,0.5445778575067618,0.5731495553425431,0.6649746894836426,0.5412323223284803
mlp,29,vision_10_back,0.5879120879120879,0.5413462764444531,0.5704020161249905,0.6654910445213318,0.540518123681424
mlp,29,vision_30_front,0.5934065934065934,0.5492370586578857,0.5772388936541362,0.6652156114578247,0.5396361691878834
mlp,29,vision_30_middle,0.5851648351648352,0.5413178316787063,0.569279990666556,0.665661096572876,0.5413245612883978
mlp,29,vision_30_back,0.5906593406593407,0.5445904422268181,0.5741635954609403,0.6670159101486206,0.5385125409676482
mlp,29,vision_50_front,0.5934065934065934,0.5484635177632472,0.5765854210152638,0.6659536957740784,0.5386006018927797
mlp,29,vision_50_middle,0.5810439560439561,0.5380534383299245,0.5657487093599053,0.6664706468582153,0.5402361542137215
mlp,29,vision_50_back,0.5892857142857143,0.5446078740820234,0.5737588369587613,0.6676010489463806,0.5380989485539854
mlp,29,audio_vision_30_sync,0.5892857142857143,0.5439701660797508,0.572563854636699,0.664012610912323,0.5425030014240108
mlp,29,text_audio_30_sync,0.5728021978021978,0.5372447590227221,0.5640387743806734,0.6908169388771057,0.49816539513065167
mlp,29,audio_vision_30_offset,0.5892857142857143,0.5487834229747249,0.5772614626557993,0.6696048378944397,0.5355058020073855
mlp,29,audio_30_two_blocks,0.5879120879120879,0.5415740324114435,0.5708362374132643,0.6671443581581116,0.5355183011795817
mlp,43,clean,0.5810439560439561,0.5258944815592209,0.5605175951569146,0.6660442352294922,0.5421080739750903
mlp,43,text_10_front,0.5728021978021978,0.5153554587072536,0.5523509527286214,0.6700770854949951,0.5302579277314399
mlp,43,text_10_middle,0.5741758241758241,0.5231870508479419,0.55672892421699,0.6762575507164001,0.5313718626827475
mlp,43,text_10_back,0.5824175824175825,0.5302098319818451,0.5645277849093991,0.6752743721008301,0.5273085728779658
mlp,43,text_30_front,0.5563186813186813,0.49853981197986613,0.536882814285056,0.6866416335105896,0.4907458368299095
mlp,43,text_30_middle,0.570054945054945,0.523246143954328,0.5551290359173437,0.685366690158844,0.5064027069124108
mlp,43,text_30_back,0.5563186813186813,0.5045418349766176,0.5401483132252363,0.6784008145332336,0.5225818368779696
mlp,43,text_50_front,0.5563186813186813,0.5148802057524523,0.5459876949908304,0.7154213190078735,0.45704795467931847
mlp,43,text_50_middle,0.5508241758241759,0.5109806934265858,0.5423219556211422,0.6970981359481812,0.48844632251935094
mlp,43,text_50_back,0.5315934065934066,0.48765191472886715,0.521181019043009,0.694275438785553,0.48852425647308684
