model,scope,accuracy,macro_f1,mae,pearson
mlp,clean,0.5824175824175825,0.5402719555255052,0.6588125824928284,0.5474169687415222
mlp,selection,0.5813873626373627,0.5409002027036521,0.6643716841936111,0.5380553334887764
mlp,grid27,0.5792124542124542,0.5394302774103689,0.6669168825502749,0.5338241747957287
state_aug,clean,0.5837912087912088,0.5305363414282235,0.6540210843086243,0.5563134494593205
state_aug,selection,0.5734890109890111,0.5252840223375197,0.663475975394249,0.5396933124224078
state_aug,grid27,0.575956450956451,0.528777204627062,0.6668981711069742,0.5353590475192702
mult,clean,0.5824175824175825,0.5375354911764089,0.6652685403823853,0.5341596531944924
mult,selection,0.5817307692307693,0.5374302956551446,0.6709895730018616,0.5238190291416478
mult,grid27,0.5767195767195767,0.5312889829655207,0.6735601292716132,0.5222522050773567
emt_dlfr,clean,0.5782967032967034,0.5547520008984587,0.6348006129264832,0.5591399065612178
emt_dlfr,selection,0.5728021978021978,0.5482799923351888,0.6414076238870621,0.5468734701699317
emt_dlfr,grid27,0.5722934472934473,0.5456621271671883,0.6428523792160882,0.5459234683945314
emt_no_restore,clean,0.5947802197802198,0.5627909684828482,0.6318468451499939,0.5604812808761024
emt_no_restore,selection,0.5879120879120879,0.5529258437891493,0.639947772026062,0.5470722493088186
emt_no_restore,grid27,0.5828245828245828,0.5443602675321341,0.6416965303597627,0.5458502851233886
