type,metric,value
selected_clean,accuracy,0.5824175824175825
selected_clean,macro_f1,0.5402719555255052
selected_clean,mae,0.6588125824928284
selected_clean,pearson,0.5474169687415222
mlp,selection_macro_f1_seed_mean,0.5392003032511941
gru_clean,selection_macro_f1_seed_mean,0.5306183060848461
gru_aug,selection_macro_f1_seed_mean,0.5285189456901166
state_aug,selection_macro_f1_seed_mean,0.5275694079910145
smooth_aug,selection_macro_f1_seed_mean,0.5271294633340377
mlp,selection_macro_f1_seed_std,0.0092338931360133
gru_clean,selection_macro_f1_seed_std,0.007242933393935
gru_aug,selection_macro_f1_seed_std,0.0063810969988955
state_aug,selection_macro_f1_seed_std,0.0075627294919662
smooth_aug,selection_macro_f1_seed_std,0.006770249751912
class_0,recall,0.6067961165048543
class_1,recall,0.29891304347826086
class_2,recall,0.7218934911242604
text_10,location_mean_macro_f1,0.5414623074637827
text_30,location_mean_macro_f1,0.5289208418707138
text_50,location_mean_macro_f1,0.5170596441431664
audio_10,location_mean_macro_f1,0.5437749893880847
audio_30,location_mean_macro_f1,0.5482367286921813
audio_50,location_mean_macro_f1,0.5459863241372859
vision_10,location_mean_macro_f1,0.5412835152741989
vision_30,location_mean_macro_f1,0.5449304390433815
vision_50,location_mean_macro_f1,0.5432177066805245
