split,sample_id,content_positions
train,-3g5yACwYnA$_$4,39
train,-HwX2H8Z4hY$_$3,18
train,-HwX2H8Z4hY$_$9,24
train,-NFrJFQijFE$_$0,10
train,-THoVjtIkeU$_$2,11
train,-UuX1xuaiiE$_$9,18
train,-WXXTNIJcVM$_$0,8
train,-a55Q6RWvTA$_$3,48
train,-aNfi7CP8vM$_$10,28
train,-aqamKhZ1Ec$_$1,29
train,-aqamKhZ1Ec$_$0,16
train,-dxfTGcXJoc$_$0,48
train,-dxfTGcXJoc$_$6,32
train,-egA8-b7-3M$_$3,21
train,-lqc32Zpr7M$_$18,29
train,-lzEya4AM_4$_$6,48
train,-mJ2ud6oKI8$_$9,29
train,-mqbVkbCndg$_$1,8
train,-mqbVkbCndg$_$4,21
train,-tPCytz4rww$_$16,17
train,-vxjVxOeScU$_$2,19
train,-wny0OAz3g8$_$0,11
train,-wny0OAz3g8$_$5,27
train,03X1FwF6udc$_$22,21
train,07Z16yRBFUQ$_$5,39
train,0BVed2nBq1g$_$0,8
train,0BVed2nBq1g$_$3,11
train,0BVed2nBq1g$_$2,26
train,0DBfvvIVmqY$_$13,8
train,0DBfvvIVmqY$_$14,16
train,0DBfvvIVmqY$_$4,9
train,0DBfvvIVmqY$_$8,11
train,0EphpADwdPg$_$6,14
train,0FA32bEZ6xI$_$24,30
train,0FA32bEZ6xI$_$25,18
train,0FA32bEZ6xI$_$28,18
train,0FA32bEZ6xI$_$3,12
train,0FA32bEZ6xI$_$6,12
train,0FA32bEZ6xI$_$15,35
train,0FA32bEZ6xI$_$14,11
train,0FA32bEZ6xI$_$18,8
train,0JuRmhhgMw8$_$0,15
train,0OC3wf9x3zQ$_$7,19
train,0OC3wf9x3zQ$_$6,26
train,0OXeN3MhFeA$_$19,29
train,0OXeN3MhFeA$_$18,15
train,0OXeN3MhFeA$_$15,20
train,0Svu5BldR5A$_$0,36
train,0YdYFtVdlWE$_$7,4
train,0YdYFtVdlWE$_$6,10
train,0YdYFtVdlWE$_$8,14
train,0YdYFtVdlWE$_$10,19
train,0YdYFtVdlWE$_$15,37
train,0YdYFtVdlWE$_$14,15
train,0bsTzavb-AE$_$3,15
train,0hCOCt6fWas$_$15,31
train,0hCOCt6fWas$_$2,33
train,0hCihQ5Kep0$_$3,19
train,0hCihQ5Kep0$_$4,7
train,0jtdrsmVzYQ$_$5,25
train,0mXv97u2OCM$_$7,18
train,0p9XKC_J3hU$_$2,29
train,0rE8jEvQW_I$_$3,20
train,0rE8jEvQW_I$_$4,21
train,0rE8jEvQW_I$_$9,6
train,0tkWa2skSmA$_$8,48
train,0tkWa2skSmA$_$6,17
train,100499$_$5,48
train,100499$_$4,18
train,101851$_$13,17
train,101851$_$14,8
train,101851$_$16,18
train,101851$_$0,20
train,102184$_$12,46
train,102184$_$1,19
train,102184$_$3,29
train,102184$_$7,14
train,10223$_$1,16
train,10223$_$9,17
train,106077$_$1,12
train,106077$_$2,18
train,106077$_$7,11
train,106514$_$10,25
train,106514$_$2,20
train,106514$_$9,4
train,106941$_$10,30
train,106941$_$12,26
train,106941$_$3,29
train,106941$_$2,11
train,106941$_$7,11
train,106941$_$9,9
train,106941$_$8,12
train,107551$_$1,27
train,107551$_$3,12
train,107551$_$5,48
train,107551$_$6,9
train,108793$_$10,28
train,108793$_$17,21
train,108793$_$1,15
train,108793$_$0,3
train,108793$_$8,12
train,110203$_$2,48
train,110203$_$7,13
train,110754$_$3,23
train,110754$_$2,23
train,110766$_$8,7
train,110788$_$0,13
train,110788$_$5,15
train,112148$_$12,16
train,112148$_$5,11
train,112148$_$4,11
train,112148$_$7,19
train,112169$_$7,8
train,112604$_$1,48
train,112631$_$1,48
train,112631$_$6,20
train,112903$_$0,30
train,112903$_$3,27
train,112903$_$6,48
train,113265$_$3,18
train,113265$_$4,33
train,114624$_$11,5
train,114624$_$6,18
train,114624$_$8,9
train,11650$_$0,4
train,11650$_$3,25
train,11650$_$4,33
train,11650$_$13,10
train,11650$_$18,22
train,119348$_$11,20
train,119348$_$3,24
train,119348$_$2,20
train,120vnZnmhq4$_$2,29
train,121358$_$1,8
train,121358$_$4,5
train,121358$_$10,14
train,121358$_$13,7
train,121358$_$15,18
train,121358$_$14,18
train,122439$_$4,27
train,122602$_$12,33
train,122602$_$15,12
train,122602$_$0,14
train,122602$_$4,9
train,122842$_$1,10
train,122842$_$6,28
train,125730$_$12,22
train,125730$_$1,24
train,125730$_$0,28
train,125730$_$2,7
train,125730$_$8,18
train,125845$_$1,43
train,125845$_$3,41
train,125845$_$5,38
train,126542$_$11,31
train,126542$_$12,4
train,126542$_$17,13
train,126542$_$16,19
train,126542$_$3,10
train,126831$_$10,26
train,126831$_$3,25
train,127470$_$5,10
train,127470$_$6,16
train,127539$_$5,13
train,127539$_$7,35
train,127539$_$6,31
train,127539$_$9,17
train,127539$_$8,43
train,12812$_$3,48
train,12812$_$6,45
train,128258$_$13,36
train,128258$_$1,27
train,128752$_$15,22
train,128752$_$16,8
train,128752$_$3,27
train,128752$_$7,22
train,128752$_$9,23
train,128949$_$2,32
train,129733$_$7,36
train,130149$_$3,13
train,130149$_$6,23
train,130426$_$0,28
train,130426$_$6,31
train,130633$_$5,48
train,130633$_$7,16
train,131650$_$1,38
train,131650$_$0,19
train,131650$_$3,14
train,131650$_$9,3
train,131871$_$1,31
train,131936$_$2,9
train,131936$_$4,30
train,134252$_$1,19
train,134252$_$0,1
train,136205$_$12,11
train,136205$_$0,13
train,136205$_$6,6
train,136211$_$3,14
train,136211$_$2,45
train,137827$_$1,12
train,137827$_$2,31
train,137827$_$4,24
train,139006$_$12,48
train,139006$_$3,16
train,139032$_$16,7
train,139032$_$3,28
train,13JpsLvddoY$_$8,16
train,13JpsLvddoY$_$7,30
train,140293$_$0,18
train,140317$_$5,10
train,140317$_$7,48
train,154449$_$2,19
train,154449$_$4,3
train,154449$_$6,20
train,154449$_$8,20
train,15837$_$1,15
train,15837$_$9,38
train,15Wu4U2VPLw$_$2,15
train,15Wu4U2VPLw$_$4,27
train,15Wu4U2VPLw$_$6,15
train,15ktF-6wutk$_$4,17
train,180923$_$14,13
train,180923$_$5,4
train,180923$_$4,17
train,180923$_$6,48
train,184784$_$6,42
train,186631$_$10,36
train,186631$_$6,48
train,188122$_$12,23
train,188122$_$16,38
train,188122$_$9,29
train,189966$_$21,6
train,189966$_$22,7
train,189966$_$2,12
train,189966$_$4,10
train,189966$_$6,12
train,189966$_$12,9
train,189966$_$14,29
train,189966$_$16,40
train,189966$_$19,5
train,18JTkk8JbeU$_$6,26
train,18QjfdhJEM4$_$14,33
train,18QjfdhJEM4$_$17,12
train,18QjfdhJEM4$_$23,14
train,18QjfdhJEM4$_$4,32
train,190740$_$2,37
