split,sample_id,modality,availability
train,-3g5yACwYnA$_$4,text,1.0
train,-3g5yACwYnA$_$4,audio,1.0
train,-3g5yACwYnA$_$4,vision,1.0
train,-HwX2H8Z4hY$_$3,text,1.0
train,-HwX2H8Z4hY$_$3,audio,1.0
train,-HwX2H8Z4hY$_$3,vision,0.16666666666666666
train,-HwX2H8Z4hY$_$9,text,1.0
train,-HwX2H8Z4hY$_$9,audio,1.0
train,-HwX2H8Z4hY$_$9,vision,0.75
train,-NFrJFQijFE$_$0,text,1.0
train,-NFrJFQijFE$_$0,audio,1.0
train,-NFrJFQijFE$_$0,vision,0.0
train,-THoVjtIkeU$_$2,text,1.0
train,-THoVjtIkeU$_$2,audio,1.0
train,-THoVjtIkeU$_$2,vision,1.0
train,-UuX1xuaiiE$_$9,text,1.0
train,-UuX1xuaiiE$_$9,audio,1.0
train,-UuX1xuaiiE$_$9,vision,1.0
train,-WXXTNIJcVM$_$0,text,1.0
train,-WXXTNIJcVM$_$0,audio,1.0
train,-WXXTNIJcVM$_$0,vision,0.0
train,-a55Q6RWvTA$_$3,text,1.0
train,-a55Q6RWvTA$_$3,audio,1.0
train,-a55Q6RWvTA$_$3,vision,1.0
train,-aNfi7CP8vM$_$10,text,1.0
train,-aNfi7CP8vM$_$10,audio,1.0
train,-aNfi7CP8vM$_$10,vision,1.0
train,-aqamKhZ1Ec$_$1,text,1.0
train,-aqamKhZ1Ec$_$1,audio,1.0
train,-aqamKhZ1Ec$_$1,vision,1.0
train,-aqamKhZ1Ec$_$0,text,1.0
train,-aqamKhZ1Ec$_$0,audio,1.0
train,-aqamKhZ1Ec$_$0,vision,1.0
train,-dxfTGcXJoc$_$0,text,1.0
train,-dxfTGcXJoc$_$0,audio,1.0
train,-dxfTGcXJoc$_$0,vision,1.0
train,-dxfTGcXJoc$_$6,text,1.0
train,-dxfTGcXJoc$_$6,audio,1.0
train,-dxfTGcXJoc$_$6,vision,1.0
train,-egA8-b7-3M$_$3,text,1.0
train,-egA8-b7-3M$_$3,audio,1.0
train,-egA8-b7-3M$_$3,vision,1.0
train,-lqc32Zpr7M$_$18,text,1.0
train,-lqc32Zpr7M$_$18,audio,1.0
train,-lqc32Zpr7M$_$18,vision,1.0
train,-lzEya4AM_4$_$6,text,1.0
train,-lzEya4AM_4$_$6,audio,1.0
train,-lzEya4AM_4$_$6,vision,1.0
train,-mJ2ud6oKI8$_$9,text,1.0
train,-mJ2ud6oKI8$_$9,audio,1.0
train,-mJ2ud6oKI8$_$9,vision,1.0
train,-mqbVkbCndg$_$1,text,1.0
train,-mqbVkbCndg$_$1,audio,1.0
train,-mqbVkbCndg$_$1,vision,1.0
train,-mqbVkbCndg$_$4,text,1.0
train,-mqbVkbCndg$_$4,audio,1.0
train,-mqbVkbCndg$_$4,vision,1.0
train,-tPCytz4rww$_$16,text,1.0
train,-tPCytz4rww$_$16,audio,1.0
train,-tPCytz4rww$_$16,vision,1.0
train,-vxjVxOeScU$_$2,text,1.0
train,-vxjVxOeScU$_$2,audio,1.0
train,-vxjVxOeScU$_$2,vision,1.0
train,-wny0OAz3g8$_$0,text,1.0
train,-wny0OAz3g8$_$0,audio,1.0
train,-wny0OAz3g8$_$0,vision,1.0
train,-wny0OAz3g8$_$5,text,1.0
train,-wny0OAz3g8$_$5,audio,1.0
train,-wny0OAz3g8$_$5,vision,1.0
train,03X1FwF6udc$_$22,text,1.0
train,03X1FwF6udc$_$22,audio,1.0
train,03X1FwF6udc$_$22,vision,1.0
train,07Z16yRBFUQ$_$5,text,1.0
train,07Z16yRBFUQ$_$5,audio,1.0
train,07Z16yRBFUQ$_$5,vision,1.0
train,0BVed2nBq1g$_$0,text,1.0
train,0BVed2nBq1g$_$0,audio,1.0
train,0BVed2nBq1g$_$0,vision,1.0
train,0BVed2nBq1g$_$3,text,1.0
train,0BVed2nBq1g$_$3,audio,1.0
train,0BVed2nBq1g$_$3,vision,1.0
train,0BVed2nBq1g$_$2,text,1.0
train,0BVed2nBq1g$_$2,audio,1.0
train,0BVed2nBq1g$_$2,vision,1.0
train,0DBfvvIVmqY$_$13,text,1.0
train,0DBfvvIVmqY$_$13,audio,1.0
train,0DBfvvIVmqY$_$13,vision,1.0
train,0DBfvvIVmqY$_$14,text,1.0
train,0DBfvvIVmqY$_$14,audio,1.0
train,0DBfvvIVmqY$_$14,vision,1.0
train,0DBfvvIVmqY$_$4,text,1.0
train,0DBfvvIVmqY$_$4,audio,1.0
train,0DBfvvIVmqY$_$4,vision,1.0
train,0DBfvvIVmqY$_$8,text,1.0
train,0DBfvvIVmqY$_$8,audio,1.0
train,0DBfvvIVmqY$_$8,vision,1.0
train,0EphpADwdPg$_$6,text,1.0
train,0EphpADwdPg$_$6,audio,1.0
train,0EphpADwdPg$_$6,vision,1.0
train,0FA32bEZ6xI$_$24,text,1.0
train,0FA32bEZ6xI$_$24,audio,1.0
train,0FA32bEZ6xI$_$24,vision,1.0
train,0FA32bEZ6xI$_$25,text,1.0
train,0FA32bEZ6xI$_$25,audio,1.0
train,0FA32bEZ6xI$_$25,vision,1.0
train,0FA32bEZ6xI$_$28,text,1.0
train,0FA32bEZ6xI$_$28,audio,1.0
train,0FA32bEZ6xI$_$28,vision,1.0
train,0FA32bEZ6xI$_$3,text,1.0
train,0FA32bEZ6xI$_$3,audio,1.0
train,0FA32bEZ6xI$_$3,vision,1.0
train,0FA32bEZ6xI$_$6,text,1.0
train,0FA32bEZ6xI$_$6,audio,1.0
train,0FA32bEZ6xI$_$6,vision,1.0
train,0FA32bEZ6xI$_$15,text,1.0
train,0FA32bEZ6xI$_$15,audio,1.0
train,0FA32bEZ6xI$_$15,vision,1.0
train,0FA32bEZ6xI$_$14,text,1.0
train,0FA32bEZ6xI$_$14,audio,1.0
train,0FA32bEZ6xI$_$14,vision,1.0
train,0FA32bEZ6xI$_$18,text,1.0
train,0FA32bEZ6xI$_$18,audio,1.0
train,0FA32bEZ6xI$_$18,vision,1.0
train,0JuRmhhgMw8$_$0,text,1.0
train,0JuRmhhgMw8$_$0,audio,1.0
train,0JuRmhhgMw8$_$0,vision,1.0
train,0OC3wf9x3zQ$_$7,text,1.0
train,0OC3wf9x3zQ$_$7,audio,1.0
train,0OC3wf9x3zQ$_$7,vision,1.0
train,0OC3wf9x3zQ$_$6,text,1.0
train,0OC3wf9x3zQ$_$6,audio,1.0
