sample_id,display_row,position,modality,state
112433$_$10,0,0,text,0
112433$_$10,0,1,text,2
112433$_$10,0,2,text,0
112433$_$10,0,3,text,0
112433$_$10,0,4,text,0
112433$_$10,0,5,text,0
112433$_$10,0,6,text,0
112433$_$10,0,7,text,0
112433$_$10,0,8,text,0
112433$_$10,0,9,text,0
112433$_$10,0,10,text,0
112433$_$10,0,11,text,0
112433$_$10,0,12,text,0
112433$_$10,0,13,text,0
112433$_$10,0,14,text,0
112433$_$10,0,15,text,0
112433$_$10,0,16,text,0
112433$_$10,0,17,text,0
112433$_$10,0,18,text,0
112433$_$10,0,19,text,0
112433$_$10,0,20,text,0
112433$_$10,0,21,text,0
112433$_$10,0,22,text,0
112433$_$10,0,23,text,0
112433$_$10,0,24,text,0
112433$_$10,0,25,text,0
112433$_$10,0,26,text,0
112433$_$10,0,27,text,0
112433$_$10,0,28,text,0
112433$_$10,0,29,text,0
112433$_$10,0,30,text,0
112433$_$10,0,31,text,0
112433$_$10,0,32,text,0
112433$_$10,0,33,text,0
112433$_$10,0,34,text,0
112433$_$10,0,35,text,0
112433$_$10,0,36,text,0
112433$_$10,0,37,text,0
112433$_$10,0,38,text,0
112433$_$10,0,39,text,0
112433$_$10,0,40,text,0
112433$_$10,0,41,text,0
112433$_$10,0,42,text,0
112433$_$10,0,43,text,0
112433$_$10,0,44,text,0
112433$_$10,0,45,text,0
112433$_$10,0,46,text,0
112433$_$10,0,47,text,0
112433$_$10,0,48,text,0
112433$_$10,0,49,text,0
80855$_$2,1,0,text,0
80855$_$2,1,1,text,2
80855$_$2,1,2,text,2
80855$_$2,1,3,text,2
80855$_$2,1,4,text,2
80855$_$2,1,5,text,2
80855$_$2,1,6,text,0
80855$_$2,1,7,text,0
80855$_$2,1,8,text,0
80855$_$2,1,9,text,0
80855$_$2,1,10,text,0
80855$_$2,1,11,text,0
80855$_$2,1,12,text,0
80855$_$2,1,13,text,0
80855$_$2,1,14,text,0
80855$_$2,1,15,text,0
80855$_$2,1,16,text,0
80855$_$2,1,17,text,0
80855$_$2,1,18,text,0
80855$_$2,1,19,text,0
80855$_$2,1,20,text,0
80855$_$2,1,21,text,0
80855$_$2,1,22,text,0
80855$_$2,1,23,text,0
80855$_$2,1,24,text,0
80855$_$2,1,25,text,0
80855$_$2,1,26,text,0
80855$_$2,1,27,text,0
80855$_$2,1,28,text,0
80855$_$2,1,29,text,0
80855$_$2,1,30,text,0
80855$_$2,1,31,text,0
80855$_$2,1,32,text,0
80855$_$2,1,33,text,0
80855$_$2,1,34,text,0
80855$_$2,1,35,text,0
80855$_$2,1,36,text,0
80855$_$2,1,37,text,0
