condition,sample_id,modality,position,state
clean,188343$_$12,text,0,0
clean,188343$_$12,text,1,2
clean,188343$_$12,text,2,2
clean,188343$_$12,text,3,2
clean,188343$_$12,text,4,2
clean,188343$_$12,text,5,2
clean,188343$_$12,text,6,2
clean,188343$_$12,text,7,2
clean,188343$_$12,text,8,2
clean,188343$_$12,text,9,2
clean,188343$_$12,text,10,2
clean,188343$_$12,text,11,2
clean,188343$_$12,text,12,2
clean,188343$_$12,text,13,2
clean,188343$_$12,text,14,2
clean,188343$_$12,text,15,2
clean,188343$_$12,text,16,2
clean,188343$_$12,text,17,2
clean,188343$_$12,text,18,2
clean,188343$_$12,text,19,2
clean,188343$_$12,text,20,2
clean,188343$_$12,text,21,2
clean,188343$_$12,text,22,2
clean,188343$_$12,text,23,2
clean,188343$_$12,text,24,2
clean,188343$_$12,text,25,2
clean,188343$_$12,text,26,2
clean,188343$_$12,text,27,2
clean,188343$_$12,text,28,2
clean,188343$_$12,text,29,2
clean,188343$_$12,text,30,2
clean,188343$_$12,text,31,0
clean,188343$_$12,text,32,0
clean,188343$_$12,text,33,0
clean,188343$_$12,text,34,0
clean,188343$_$12,text,35,0
clean,188343$_$12,text,36,0
clean,188343$_$12,text,37,0
clean,188343$_$12,text,38,0
clean,188343$_$12,text,39,0
clean,188343$_$12,text,40,0
clean,188343$_$12,text,41,0
clean,188343$_$12,text,42,0
clean,188343$_$12,text,43,0
clean,188343$_$12,text,44,0
clean,188343$_$12,text,45,0
clean,188343$_$12,text,46,0
clean,188343$_$12,text,47,0
clean,188343$_$12,text,48,0
clean,188343$_$12,text,49,0
clean,188343$_$12,audio,0,0
clean,188343$_$12,audio,1,2
clean,188343$_$12,audio,2,2
clean,188343$_$12,audio,3,2
clean,188343$_$12,audio,4,2
clean,188343$_$12,audio,5,2
clean,188343$_$12,audio,6,2
clean,188343$_$12,audio,7,2
clean,188343$_$12,audio,8,2
clean,188343$_$12,audio,9,2
clean,188343$_$12,audio,10,2
clean,188343$_$12,audio,11,2
clean,188343$_$12,audio,12,2
clean,188343$_$12,audio,13,2
clean,188343$_$12,audio,14,2
clean,188343$_$12,audio,15,2
clean,188343$_$12,audio,16,2
clean,188343$_$12,audio,17,2
clean,188343$_$12,audio,18,2
clean,188343$_$12,audio,19,2
clean,188343$_$12,audio,20,2
clean,188343$_$12,audio,21,2
clean,188343$_$12,audio,22,2
clean,188343$_$12,audio,23,2
clean,188343$_$12,audio,24,2
clean,188343$_$12,audio,25,2
clean,188343$_$12,audio,26,2
clean,188343$_$12,audio,27,2
clean,188343$_$12,audio,28,2
clean,188343$_$12,audio,29,2
clean,188343$_$12,audio,30,2
clean,188343$_$12,audio,31,0
clean,188343$_$12,audio,32,0
clean,188343$_$12,audio,33,0
clean,188343$_$12,audio,34,0
clean,188343$_$12,audio,35,0
clean,188343$_$12,audio,36,0
clean,188343$_$12,audio,37,0
clean,188343$_$12,audio,38,0
clean,188343$_$12,audio,39,0
clean,188343$_$12,audio,40,0
clean,188343$_$12,audio,41,0
clean,188343$_$12,audio,42,0
clean,188343$_$12,audio,43,0
clean,188343$_$12,audio,44,0
clean,188343$_$12,audio,45,0
clean,188343$_$12,audio,46,0
clean,188343$_$12,audio,47,0
clean,188343$_$12,audio,48,0
clean,188343$_$12,audio,49,0
clean,188343$_$12,vision,0,0
clean,188343$_$12,vision,1,2
clean,188343$_$12,vision,2,2
clean,188343$_$12,vision,3,2
clean,188343$_$12,vision,4,2
clean,188343$_$12,vision,5,2
clean,188343$_$12,vision,6,2
clean,188343$_$12,vision,7,2
clean,188343$_$12,vision,8,2
clean,188343$_$12,vision,9,2
clean,188343$_$12,vision,10,2
clean,188343$_$12,vision,11,2
clean,188343$_$12,vision,12,2
clean,188343$_$12,vision,13,2
clean,188343$_$12,vision,14,2
clean,188343$_$12,vision,15,2
clean,188343$_$12,vision,16,2
clean,188343$_$12,vision,17,2
clean,188343$_$12,vision,18,2
clean,188343$_$12,vision,19,2
clean,188343$_$12,vision,20,2
clean,188343$_$12,vision,21,2
clean,188343$_$12,vision,22,2
clean,188343$_$12,vision,23,2
clean,188343$_$12,vision,24,2
clean,188343$_$12,vision,25,2
clean,188343$_$12,vision,26,2
clean,188343$_$12,vision,27,2
clean,188343$_$12,vision,28,2
clean,188343$_$12,vision,29,2
clean,188343$_$12,vision,30,2
clean,188343$_$12,vision,31,0
clean,188343$_$12,vision,32,0
clean,188343$_$12,vision,33,0
clean,188343$_$12,vision,34,0
clean,188343$_$12,vision,35,0
clean,188343$_$12,vision,36,0
clean,188343$_$12,vision,37,0
clean,188343$_$12,vision,38,0
clean,188343$_$12,vision,39,0
clean,188343$_$12,vision,40,0
