model,seed,selection_macro_f1
smooth_aug,17,0.5347723941500419
smooth_aug,29,0.5218848014850638
smooth_aug,43,0.5247311943670073
state_aug,17,0.5351542340266048
state_aug,29,0.5275250195030254
state_aug,43,0.5200289704434131
gru_aug,17,0.5352953058085534
gru_aug,29,0.527636580182747
gru_aug,43,0.5226249510790493
state_clean,17,0.528588744597735
gru_clean,17,0.5376679110723964
gru_clean,29,0.5309906033188952
gru_clean,43,0.5231964038632465
state_no_gap,17,0.5328908163228734
state_no_history,17,0.5372979670601318
mlp,17,0.5465987437453813
mlp,29,0.5421503003368241
mlp,43,0.5288518656713768
text,17,0.5465935465459089
