model,seed,condition,accuracy,macro_f1,weighted_f1,mae,pearson
mlp,17,clean,0.5810439560439561,0.5530160308488236,0.5790331899140815,0.6697088479995728,0.5404042941594794
mlp,29,clean,0.5906593406593407,0.5458417882063202,0.5739605150258537,0.6648115515708923,0.540896793316167
mlp,43,clean,0.5810439560439561,0.5258944815592209,0.5605175951569146,0.6660442352294922,0.5421080739750903
gru_clean,17,clean,0.5618131868131868,0.530436965236812,0.557484691082213,0.6835631728172302,0.5373583439599199
gru_clean,29,clean,0.5686813186813187,0.5442978353364497,0.5684748585469338,0.6726223230361938,0.5394322550729788
gru_clean,43,clean,0.5947802197802198,0.5290010644779036,0.5663668822524408,0.657414972782135,0.5707213213627496
gru_aug,17,clean,0.5796703296703297,0.5484905041455993,0.5749178459784763,0.6610105037689209,0.536321600051216
gru_aug,29,clean,0.5824175824175825,0.5255038072110132,0.5592420383042738,0.6615644097328186,0.5402174016107021
gru_aug,43,clean,0.5947802197802198,0.5328138365259137,0.5687222270575886,0.652826189994812,0.5679391523643481
state_aug,17,clean,0.5810439560439561,0.5357595944576876,0.5664995041530924,0.6558122038841248,0.5557812031264949
state_aug,29,clean,0.5865384615384616,0.5442030000312047,0.5717553045404922,0.6655293703079224,0.5421490514284234
state_aug,43,clean,0.5892857142857143,0.5298341589752805,0.5651490276328568,0.664400041103363,0.5481368172565421
smooth_aug,17,clean,0.5824175824175825,0.5417626951635423,0.5698714189863917,0.6686962842941284,0.5364576833493782
smooth_aug,29,clean,0.5824175824175825,0.536958560160088,0.5669813826424139,0.6557283997535706,0.5509505548969137
smooth_aug,43,clean,0.5796703296703297,0.5240807205419628,0.5583135429006878,0.6803314089775085,0.5486893899889883
