sample_id,true_class,prediction,confidence,true_class_probability,correct
-UacrmKiTn4$_$7,2,2,0.7466681599617004,0.7466681599617004,True
-qDkUB0GgYY$_$5,2,2,0.5737422108650208,0.5737422108650208,True
0utROiKxejc$_$1,1,2,0.8040918707847595,0.10482005029916763,False
0utROiKxejc$_$4,1,0,0.7449635863304138,0.10261017829179764,False
0y022OlZ3W0$_$3,2,2,0.6725813746452332,0.6725813746452332,True
0y022OlZ3W0$_$5,0,0,0.7878041863441467,0.7878041863441467,True
0y022OlZ3W0$_$8,0,2,0.45925435423851013,0.1690249890089035,False
101787$_$11,1,1,0.4599827527999878,0.4599827527999878,True
101787$_$13,0,0,0.6380925178527832,0.6380925178527832,True
101787$_$1,0,0,0.4780410826206207,0.4780410826206207,True
101787$_$5,0,0,0.8553497195243835,0.8553497195243835,True
101787$_$7,2,0,0.49970516562461853,0.31550195813179016,False
101787$_$9,0,1,0.5866400599479675,0.33189520239830017,False
102408$_$2,0,1,0.6017336845397949,0.2478601485490799,False
102408$_$5,0,0,0.4686938226222992,0.4686938226222992,True
102408$_$9,0,0,0.6553129553794861,0.6553129553794861,True
102858$_$20,2,0,0.5767948627471924,0.1931988149881363,False
102858$_$21,2,0,0.6018425822257996,0.08197996765375137,False
102858$_$1,2,1,0.6008219122886658,0.20675627887248993,False
102858$_$0,2,2,0.7386788725852966,0.7386788725852966,True
102858$_$4,2,0,0.5997374653816223,0.20213937759399414,False
102858$_$6,2,0,0.4560750722885132,0.1780615597963333,False
102858$_$10,2,1,0.5105442404747009,0.31100597977638245,False
102858$_$17,2,1,0.35609209537506104,0.3416593074798584,False
102858$_$19,1,0,0.6310147643089294,0.09057088941335678,False
112433$_$10,1,1,0.6823497414588928,0.6823497414588928,True
112433$_$3,0,0,0.540183961391449,0.540183961391449,True
112433$_$7,0,0,0.7295584678649902,0.7295584678649902,True
112433$_$6,0,0,0.864088237285614,0.864088237285614,True
117tQqLjza4$_$6,2,2,0.7358928322792053,0.7358928322792053,True
11j7EfglCAs$_$2,2,1,0.42842331528663635,0.22855305671691895,False
121128$_$10,2,0,0.5689471364021301,0.22845762968063354,False
121128$_$1,1,1,0.44697701930999756,0.44697701930999756,True
121128$_$0,1,1,0.5302788615226746,0.5302788615226746,True
121128$_$5,2,0,0.5225589871406555,0.17865361273288727,False
125344$_$0,2,0,0.4621875286102295,0.3694891929626465,False
125676$_$0,0,2,0.41444912552833557,0.17234915494918823,False
125676$_$4,2,2,0.7018263936042786,0.7018263936042786,True
128059$_$11,0,0,0.8573377728462219,0.8573377728462219,True
128059$_$12,2,0,0.509376049041748,0.1329094022512436,False
128059$_$2,0,0,0.8298000693321228,0.8298000693321228,True
128059$_$7,1,0,0.39647746086120605,0.3491433560848236,False
128059$_$6,2,0,0.5145592093467712,0.2806565463542938,False
128059$_$9,2,0,0.8558661341667175,0.04885051026940346,False
128763$_$12,0,0,0.5063843131065369,0.5063843131065369,True
128763$_$3,0,0,0.8589110374450684,0.8589110374450684,True
128763$_$2,1,0,0.5147188305854797,0.4163103997707367,False
128763$_$5,1,1,0.6088634133338928,0.6088634133338928,True
128763$_$7,0,0,0.9070586562156677,0.9070586562156677,True
128763$_$8,1,0,0.7172658443450928,0.23334260284900665,False
130456$_$11,2,0,0.6866326332092285,0.16307459771633148,False
130456$_$3,2,0,0.4226168394088745,0.3806300461292267,False
130456$_$5,0,1,0.5810468196868896,0.12180600315332413,False
130456$_$4,1,1,0.7497283816337585,0.7497283816337585,True
130456$_$7,0,1,0.46901920437812805,0.43574532866477966,False
130456$_$6,2,0,0.6225914359092712,0.06115058436989784,False
188343$_$13,2,0,0.9181516766548157,0.026837071403861046,False
188343$_$12,0,0,0.9042475819587708,0.9042475819587708,True
188343$_$5,1,0,0.7253434062004089,0.234754279255867,False
188343$_$9,2,0,0.7782990336418152,0.10543549060821533,False
188343$_$8,0,0,0.8266242146492004,0.8266242146492004,True
1HK7Nea0PFo$_$1,1,0,0.5402184128761292,0.12978745996952057,False
216097$_$1,0,0,0.7503024935722351,0.7503024935722351,True
216097$_$2,1,0,0.48379698395729065,0.4021272361278534,False
216097$_$5,0,0,0.37880828976631165,0.37880828976631165,True
216097$_$4,1,0,0.3727782070636749,0.2927078604698181,False
216097$_$7,0,2,0.6916677355766296,0.15039242804050446,False
216097$_$8,0,0,0.5138106942176819,0.5138106942176819,True
223431$_$11,0,0,0.7871384620666504,0.7871384620666504,True
223431$_$10,0,1,0.42099401354789734,0.38771018385887146,False
