sample_id,true_intensity,predicted_intensity,residual,absolute_error,true_class
-UacrmKiTn4$_$7,0.33333334,0.80196863,0.4686353,0.4686353,2
-qDkUB0GgYY$_$5,2.0,0.34540716,-1.6545929,1.6545929,2
0utROiKxejc$_$1,0.0,0.7274186,0.7274186,0.7274186,1
0utROiKxejc$_$4,0.0,-0.5582038,-0.5582038,0.5582038,1
0y022OlZ3W0$_$3,1.3333334,0.45779333,-0.87554,0.87554,2
0y022OlZ3W0$_$5,-1.3333334,-0.9803777,0.3529557,0.3529557,0
0y022OlZ3W0$_$8,-0.33333334,0.10542357,0.4387569,0.4387569,0
101787$_$11,0.0,-0.06992797,-0.06992797,0.06992797,1
101787$_$13,-1.6666666,-0.715123,0.9515436,0.9515436,0
101787$_$1,-0.6666667,-0.46105683,0.20560986,0.20560986,0
101787$_$5,-1.6666666,-1.1929911,0.4736755,0.4736755,0
101787$_$7,1.0,-0.310473,-1.310473,1.310473,2
101787$_$9,-0.33333334,-0.6867959,-0.35346255,0.35346255,0
102408$_$2,-0.33333334,-0.34229425,-0.008960903,0.008960903,0
102408$_$5,-2.0,-0.3423219,1.6576781,1.6576781,0
102408$_$9,-1.6666666,-0.55280036,1.1138663,1.1138663,0
102858$_$20,2.0,-0.6102803,-2.6102803,2.6102803,2
102858$_$21,1.0,-0.85031086,-1.8503108,1.8503108,2
102858$_$1,0.33333334,-0.28490555,-0.6182389,0.6182389,2
102858$_$0,0.33333334,0.6143685,0.28103516,0.28103516,2
102858$_$4,3.0,-0.57924634,-3.5792463,3.5792463,2
102858$_$6,2.6666667,-0.4930606,-3.1597273,3.1597273,2
102858$_$10,2.0,0.041266203,-1.9587338,1.9587338,2
102858$_$17,1.0,-0.07892132,-1.0789213,1.0789213,2
102858$_$19,0.0,-0.41994953,-0.41994953,0.41994953,1
112433$_$10,0.0,-0.74853325,-0.74853325,0.74853325,1
112433$_$3,-0.33333334,-0.71602947,-0.38269612,0.38269612,0
112433$_$7,-0.6666667,-1.2587525,-0.5920858,0.5920858,0
112433$_$6,-1.3333334,-1.2288178,0.10451555,0.10451555,0
117tQqLjza4$_$6,0.6666667,0.764277,0.097610295,0.097610295,2
11j7EfglCAs$_$2,0.6666667,-0.21322756,-0.87989426,0.87989426,2
121128$_$10,2.0,-0.44378707,-2.443787,2.443787,2
121128$_$1,0.0,-0.18468477,-0.18468477,0.18468477,1
121128$_$0,0.0,-0.3179588,-0.3179588,0.3179588,1
121128$_$5,3.0,-0.4861628,-3.486163,3.486163,2
125344$_$0,0.6666667,-0.07342274,-0.7400894,0.7400894,2
125676$_$0,-0.33333334,0.117580354,0.4509137,0.4509137,0
125676$_$4,2.0,0.7226932,-1.2773068,1.2773068,2
128059$_$11,-1.0,-1.0149122,-0.014912248,0.014912248,0
128059$_$12,0.6666667,-0.5782747,-1.2449415,1.2449415,2
128059$_$2,-1.6666666,-0.9919448,0.67472184,0.67472184,0
128059$_$7,0.0,-0.37626782,-0.37626782,0.37626782,1
128059$_$6,1.0,-0.3495717,-1.3495717,1.3495717,2
128059$_$9,0.33333334,-1.197672,-1.5310054,1.5310054,2
128763$_$12,-0.6666667,-0.33867565,0.32799104,0.32799104,0
128763$_$3,-1.6666666,-1.1622297,0.50443697,0.50443697,0
128763$_$2,0.0,-0.89082223,-0.89082223,0.89082223,1
128763$_$5,0.0,-0.35957274,-0.35957274,0.35957274,1
128763$_$7,-0.33333334,-1.2660165,-0.9326831,0.9326831,0
128763$_$8,0.0,-1.0304413,-1.0304413,1.0304413,1
130456$_$11,1.6666666,-0.6064303,-2.273097,2.273097,2
