model,modality,ratio,mean,std
gru_aug,audio,10,0.5856227106227107,0.010197370627893778
gru_aug,audio,30,0.5830280830280831,0.01208247648535708
gru_aug,audio,50,0.5866910866910867,0.011631598829827696
gru_aug,text,10,0.5747863247863249,0.005022735858334638
gru_aug,text,30,0.5602869352869353,0.0050435627722400025
gru_aug,text,50,0.5338827838827839,0.010825632250491619
gru_aug,vision,10,0.5868437118437119,0.006873217490352663
gru_aug,vision,30,0.5828754578754579,0.003456883898933481
gru_aug,vision,50,0.5804334554334555,0.0043518246121438346
gru_clean,audio,10,0.5781440781440782,0.01917800482765337
gru_clean,audio,30,0.5715811965811967,0.02511785296357839
gru_clean,audio,50,0.559065934065934,0.03422446765727811
gru_clean,text,10,0.5608974358974359,0.017662364031122656
gru_clean,text,30,0.5434981684981685,0.016025641025641038
gru_clean,text,50,0.5088522588522588,0.029290910143308115
gru_clean,vision,10,0.5743284493284494,0.018086563570620925
gru_clean,vision,30,0.5755494505494506,0.015748519708717826
gru_clean,vision,50,0.5726495726495727,0.017652469702840085
mlp,audio,10,0.5827228327228328,0.005146433241784892
mlp,audio,30,0.5824175824175825,0.008479972150848017
mlp,audio,50,0.5828754578754579,0.0064102564102563875
mlp,text,10,0.5753968253968255,0.009431938068058896
mlp,text,30,0.5616605616605618,0.010323373976242936
mlp,text,50,0.5457875457875457,0.012140177274324938
mlp,vision,10,0.5854700854700855,0.0045863794875813995
mlp,vision,30,0.5857753357753358,0.0035565263118837002
mlp,vision,50,0.5833333333333334,0.004367853486341311
smooth_aug,audio,10,0.5808913308913309,0.0035565263118837002
smooth_aug,audio,30,0.5833333333333334,0.007702657436474662
smooth_aug,audio,50,0.5854700854700855,0.011039768815644115
smooth_aug,text,10,0.5732600732600733,0.0041964978891537
smooth_aug,text,30,0.554029304029304,0.00985230530739476
smooth_aug,text,50,0.5277777777777778,0.013988326297178949
smooth_aug,vision,10,0.5816544566544567,0.002258645999229043
smooth_aug,vision,30,0.5782967032967034,0.004824017286104751
smooth_aug,vision,50,0.5757020757020758,0.004895914204012693
state_aug,audio,10,0.5865384615384616,0.005570295357415932
state_aug,audio,30,0.5871489621489622,0.00745835880517129
state_aug,audio,50,0.588980463980464,0.0036725303466165816
state_aug,text,10,0.5737179487179488,0.0044155910077807075
state_aug,text,30,0.5546398046398046,0.014979830228711816
state_aug,text,50,0.5262515262515263,0.025478345351266217
state_aug,vision,10,0.5827228327228328,0.0017334885060440333
state_aug,vision,30,0.5790598290598291,0.0020646747952485704
state_aug,vision,50,0.5761599511599512,0.0066720064085452994
