model,modality,ratio,mean,std
gru_aug,audio,10,0.5388704619294508,0.006189476847012014
gru_aug,audio,30,0.5390178971504116,0.0034742297499208877
gru_aug,audio,50,0.5449314517883291,0.002649098434317572
gru_aug,text,10,0.5240713792767321,0.011509896108197963
gru_aug,text,30,0.5060920476983017,0.010407220567718372
gru_aug,text,50,0.4707411923383468,0.01568706836396319
gru_aug,vision,10,0.538098517704921,0.010196638675370769
gru_aug,vision,30,0.534578738848288,0.01392540747846323
gru_aug,vision,50,0.5342003753414518,0.012393774649090097
gru_clean,audio,10,0.5428219090762277,0.0053399857618169795
gru_clean,audio,30,0.5450087424413778,0.004328696984236843
gru_clean,audio,50,0.5398899544127963,0.007758603766671372
gru_clean,text,10,0.5213713492742914,0.004682246676678457
gru_clean,text,30,0.5088224022076243,0.007017513816665146
gru_clean,text,50,0.47780578798446616,0.013832048636507248
gru_clean,vision,10,0.5343041200564697,0.00815230961503919
gru_clean,vision,30,0.5337681776919133,0.006514103689023766
gru_clean,vision,50,0.5319267663148075,0.016427827822037454
mlp,audio,10,0.5407986119839271,0.011174088218315998
mlp,audio,30,0.5409269896569504,0.009689591118734617
mlp,audio,50,0.5414914104607617,0.01166915055494674
mlp,text,10,0.5338854378421574,0.009818787915408928
mlp,text,30,0.5238846158620903,0.01362417989289878
mlp,text,50,0.5168071119117211,0.01357511488366308
mlp,vision,10,0.5429923399740629,0.01419567609464889
mlp,vision,30,0.5440444439300347,0.013241055810933523
mlp,vision,50,0.5411163486550863,0.01457092839370451
smooth_aug,audio,10,0.5347066527079805,0.006267183542212434
smooth_aug,audio,30,0.5407726667358924,0.0026417252915013458
smooth_aug,audio,50,0.5461258656903287,0.003815923959684977
smooth_aug,text,10,0.5251879524195647,0.008265809577930357
smooth_aug,text,30,0.5110071502579226,0.003644820152397845
smooth_aug,text,50,0.4891053164722545,0.0058133164452567245
smooth_aug,vision,10,0.5352426549290095,0.010023214369438517
smooth_aug,vision,30,0.5329470568878483,0.01147577106087821
smooth_aug,vision,50,0.5317028441462365,0.01027260950396866
state_aug,audio,10,0.5391934468782048,0.004429639121199446
state_aug,audio,30,0.542424476092683,0.0012528159781294349
state_aug,audio,50,0.5473054065617676,0.007477344504854726
state_aug,text,10,0.5240360485016381,0.005339397059215511
state_aug,text,30,0.5100301183695389,0.010429077397655353
state_aug,text,50,0.4889676137634648,0.016906908605799204
state_aug,vision,10,0.5339901411705171,0.009498947670615392
state_aug,vision,30,0.5305220415333358,0.013599093316734636
state_aug,vision,50,0.5285478425284117,0.019145968684296726
