model,modality,ratio,mean,std
gru_aug,audio,10,0.6565985878308614,0.004676630386043167
gru_aug,audio,30,0.6550986104541355,0.005038039783751898
gru_aug,audio,50,0.6553026702668933,0.006493091681749581
gru_aug,text,10,0.6665906310081482,0.006299609565163394
gru_aug,text,30,0.686532908015781,0.009837523039777118
gru_aug,text,50,0.7128098673290676,0.010865954192358536
gru_aug,vision,10,0.6584134234322442,0.004310506652377615
gru_aug,vision,30,0.6591235597928365,0.0026100351100991157
gru_aug,vision,50,0.6615303092532687,0.000406129101259859
gru_clean,audio,10,0.668299118677775,0.012913562217625026
gru_clean,audio,30,0.6648454003863865,0.014297774324468944
gru_clean,audio,50,0.6633888350592719,0.01543707165078712
gru_clean,text,10,0.679452379544576,0.018401998122188172
gru_clean,text,30,0.70358763800727,0.024152782474447698
gru_clean,text,50,0.7432244751188489,0.028012983534390946
gru_clean,vision,10,0.6705443594190811,0.010735513509420437
gru_clean,vision,30,0.6703234248691134,0.0054322590491846495
gru_clean,vision,50,0.6737759245766535,0.0015539247162103663
mlp,audio,10,0.6667029990090264,0.002288262230347827
mlp,audio,30,0.6673415700594584,0.002344685445044576
mlp,audio,50,0.6682533555560641,0.0024821455716222554
mlp,text,10,0.6746406157811483,0.0029292362835928814
mlp,text,30,0.6873324248525833,0.004103430964890501
mlp,text,50,0.7091073526276483,0.006017688020180513
mlp,vision,10,0.6670867602030436,0.002425741604724666
mlp,vision,30,0.667664647102356,0.002223990193570897
mlp,vision,50,0.6680257850223117,0.0018383648399979402
smooth_aug,audio,10,0.6672704087363349,0.012990914985979641
smooth_aug,audio,30,0.6683389213350085,0.015080901550133257
smooth_aug,audio,50,0.6737932761510214,0.017231863378040713
smooth_aug,text,10,0.6762324968973795,0.006913997373828048
smooth_aug,text,30,0.7000539965099758,0.004549402995324616
smooth_aug,text,50,0.7303623490863376,0.009513642142817462
smooth_aug,vision,10,0.6686878601710001,0.01317507365383821
smooth_aug,vision,30,0.6699671149253845,0.015106445928559444
smooth_aug,vision,50,0.6737754146258036,0.017482582471330898
state_aug,audio,10,0.6606356700261434,0.006149194869779697
state_aug,audio,30,0.6606936189863416,0.0071304252947412515
state_aug,audio,50,0.6631297336684333,0.00871031261867396
state_aug,text,10,0.6717462407218084,0.008598545412913322
state_aug,text,30,0.6972886191474067,0.01725350593431648
state_aug,text,50,0.7293655673662821,0.025651774610191302
state_aug,vision,10,0.6616995599534777,0.004989235723726229
state_aug,vision,30,0.6624799635675218,0.004559818793231758
state_aug,vision,50,0.6659703983200921,0.006134600215465275
