model,modality,ratio,mean,std
gru_aug,audio,10,0.5508880898716746,0.015676998667765816
gru_aug,audio,30,0.5536473232144473,0.01341830682568555
gru_aug,audio,50,0.5551779094501469,0.011399080984410878
gru_aug,text,10,0.5333480923128728,0.014665992294556654
gru_aug,text,30,0.48929339039703024,0.019501493591377348
gru_aug,text,50,0.4295801264313072,0.023291318421125366
gru_aug,vision,10,0.548075018411853,0.018171063245851472
gru_aug,vision,30,0.5464133008918453,0.01905684524834743
gru_aug,vision,50,0.5440557891051299,0.0197000925772744
gru_clean,audio,10,0.5525520682528474,0.01697979232889412
gru_clean,audio,30,0.5568346231543513,0.013742097713220783
gru_clean,audio,50,0.5602087527383618,0.009543266041933793
gru_clean,text,10,0.5302040527141801,0.018003224151763718
gru_clean,text,30,0.4737860701972118,0.02776666948061449
gru_clean,text,50,0.4074298768526738,0.027060927536131096
gru_clean,vision,10,0.5496410121313404,0.018947485299854926
gru_clean,vision,30,0.5481268735958887,0.019204568780088218
gru_clean,vision,50,0.545050485927542,0.019934377587059272
mlp,audio,10,0.5407319919781128,0.0010398609824596931
mlp,audio,30,0.54006588837971,0.0010213839510408692
mlp,audio,50,0.5386654079901808,0.0009338664283597954
mlp,text,10,0.5283775432681188,0.0011028578247328261
mlp,text,30,0.5039569719902931,0.0029584052185805615
mlp,text,50,0.47398235873255806,0.004445158181872325
mlp,vision,10,0.5412920552751185,0.0009926668977343117
mlp,vision,30,0.5402315513463801,0.0009532669418030267
mlp,vision,50,0.5395895494227201,0.001120259301798125
smooth_aug,audio,10,0.5488254374638447,0.006341027765522488
smooth_aug,audio,30,0.552055164887645,0.00349261504457062
smooth_aug,audio,50,0.5523101271188254,0.0018672064806212493
smooth_aug,text,10,0.5301269157519088,0.008260531567167727
smooth_aug,text,30,0.4816800632344575,0.014455302321634438
smooth_aug,text,50,0.42132307450226225,0.024043761697250927
smooth_aug,vision,10,0.5450961574576554,0.0074529112482674765
smooth_aug,vision,30,0.5428623430538391,0.0073876562607165935
smooth_aug,vision,50,0.5384779042367295,0.007376098626326959
state_aug,audio,10,0.5515303200069472,0.007011326552906927
state_aug,audio,30,0.5544174200746568,0.006999435427599181
state_aug,audio,50,0.5556998725635969,0.007009454624629927
state_aug,text,10,0.5331072850904083,0.01053301705271388
state_aug,text,30,0.4878892089883382,0.014702027591484153
state_aug,text,50,0.4291048714509962,0.02477174962252937
state_aug,vision,10,0.5487092894512505,0.0067286687137581595
state_aug,vision,30,0.5463743714401875,0.005754413370564693
state_aug,vision,50,0.542281740847297,0.005730316442281881
