modality,ratio,location,metric,value
text,10,front,accuracy,0.5782967032967034
text,10,middle,accuracy,0.5851648351648352
text,10,back,accuracy,0.5810439560439561
text,30,front,accuracy,0.5631868131868132
text,30,middle,accuracy,0.5714285714285714
text,30,back,accuracy,0.5686813186813187
text,50,front,accuracy,0.5439560439560439
text,50,middle,accuracy,0.5508241758241759
text,50,back,accuracy,0.5439560439560439
audio,10,front,accuracy,0.5879120879120879
audio,10,middle,accuracy,0.5865384615384616
audio,10,back,accuracy,0.5810439560439561
audio,30,front,accuracy,0.5851648351648352
audio,30,middle,accuracy,0.5934065934065934
audio,30,back,accuracy,0.5879120879120879
audio,50,front,accuracy,0.5837912087912088
audio,50,middle,accuracy,0.5989010989010989
audio,50,back,accuracy,0.5796703296703297
vision,10,front,accuracy,0.5837912087912088
vision,10,middle,accuracy,0.5810439560439561
vision,10,back,accuracy,0.5851648351648352
vision,30,front,accuracy,0.5865384615384616
vision,30,middle,accuracy,0.5782967032967034
vision,30,back,accuracy,0.5947802197802198
vision,50,front,accuracy,0.5879120879120879
vision,50,middle,accuracy,0.5782967032967034
vision,50,back,accuracy,0.592032967032967
