modality,ratio,location,metric,value
text,10,front,macro_f1,0.5357237097660903
text,10,middle,macro_f1,0.5472712485853347
text,10,back,macro_f1,0.5413919640399231
text,30,front,macro_f1,0.5170053319885471
text,30,middle,macro_f1,0.5362684283222167
text,30,back,macro_f1,0.5334887653013776
text,50,front,macro_f1,0.5101485219637744
text,50,middle,macro_f1,0.5247876056514914
text,50,back,macro_f1,0.5162428048142335
audio,10,front,macro_f1,0.5464840996429045
audio,10,middle,macro_f1,0.5445077819273725
audio,10,back,macro_f1,0.5403330865939767
audio,30,front,macro_f1,0.5436532848846063
audio,30,middle,macro_f1,0.5520276940977374
audio,30,back,macro_f1,0.5490292070941999
audio,50,front,macro_f1,0.5416106933480265
audio,50,middle,macro_f1,0.5577640493031307
audio,50,back,macro_f1,0.5385842297607003
vision,10,front,macro_f1,0.5414179556216742
vision,10,middle,macro_f1,0.5388530310334366
vision,10,back,macro_f1,0.543579559167486
vision,30,front,macro_f1,0.5453503068501675
vision,30,middle,macro_f1,0.5350327328691491
vision,30,back,macro_f1,0.5544082774108275
vision,50,front,macro_f1,0.5441690971990997
vision,50,middle,macro_f1,0.5339832709495073
vision,50,back,macro_f1,0.5515007518929664
