modality,ratio,location,metric,value
text,10,front,mae,0.6618642210960388
text,10,middle,mae,0.6678569912910461
text,10,back,mae,0.6686505079269409
text,30,front,mae,0.6822990775108337
text,30,middle,mae,0.6817939877510071
text,30,back,mae,0.6731497645378113
text,50,front,mae,0.7137995362281799
text,50,middle,mae,0.6988808512687683
text,50,back,mae,0.6883262991905212
audio,10,front,mae,0.6589785814285278
audio,10,middle,mae,0.6579540967941284
audio,10,back,mae,0.658718466758728
audio,30,front,mae,0.6613095998764038
audio,30,middle,mae,0.6580082178115845
audio,30,back,mae,0.658358633518219
audio,50,front,mae,0.6629226207733154
audio,50,middle,mae,0.6585984826087952
audio,50,back,mae,0.6589565277099609
vision,10,front,mae,0.6585187315940857
vision,10,middle,mae,0.6591095924377441
vision,10,back,mae,0.6598339080810547
vision,30,front,mae,0.6587729454040527
vision,30,middle,mae,0.6588719487190247
vision,30,back,mae,0.6614820957183838
vision,50,front,mae,0.6590021252632141
vision,50,middle,mae,0.6589891314506531
vision,50,back,mae,0.6617488861083984
