modality,ratio,location,metric,value
text,10,front,pearson,0.5363309929300291
text,10,middle,pearson,0.5362543422762004
text,10,back,pearson,0.5315593093749948
text,30,front,pearson,0.49421889862118634
text,30,middle,pearson,0.5093733939292363
text,30,back,pearson,0.5274713633130351
text,50,front,pearson,0.4607451090128146
text,50,middle,pearson,0.488131943054899
text,50,back,pearson,0.4924421570065568
audio,10,front,pearson,0.5469262221918023
audio,10,middle,pearson,0.547997724061515
audio,10,back,pearson,0.5462839819378765
audio,30,front,pearson,0.5446595464080652
audio,30,middle,pearson,0.5477006719009118
audio,30,back,pearson,0.5471519592896786
audio,50,front,pearson,0.543802467008653
audio,50,middle,pearson,0.5467293806068573
audio,50,back,pearson,0.5452267394449841
vision,10,front,pearson,0.5479905464524017
vision,10,middle,pearson,0.5475425688040981
vision,10,back,pearson,0.5471887721154782
vision,30,front,pearson,0.5466085417353984
vision,30,middle,pearson,0.5477302993834353
vision,30,back,pearson,0.5452764507884736
vision,50,front,pearson,0.5458280116715908
vision,50,middle,pearson,0.5472530488820881
vision,50,back,pearson,0.5448282772824153
