modality,ratio,location,metric,delta
text,10,front,macro_f1,-0.004548245759414926
text,10,middle,macro_f1,0.006999293059829492
text,10,back,macro_f1,0.0011200085144178473
text,30,front,macro_f1,-0.023266623536958075
text,30,middle,macro_f1,-0.004003527203288559
text,30,back,macro_f1,-0.006783190224127655
text,50,front,macro_f1,-0.03012343356173086
text,50,middle,macro_f1,-0.015484349874013814
text,50,back,macro_f1,-0.024029150711271763
audio,10,front,macro_f1,0.006212144117399232
audio,10,middle,macro_f1,0.00423582640186726
audio,10,back,macro_f1,6.11310684714983e-05
audio,30,front,macro_f1,0.0033813293591010707
audio,30,middle,macro_f1,0.011755738572232222
audio,30,back,macro_f1,0.008757251568694668
audio,50,front,macro_f1,0.001338737822521252
audio,50,middle,macro_f1,0.017492093777625506
audio,50,back,macro_f1,-0.0016877257648049149
vision,10,front,macro_f1,0.001146000096168942
vision,10,middle,macro_f1,-0.0014189244920685962
vision,10,back,macro_f1,0.003307603641980794
vision,30,front,macro_f1,0.005078351324662278
vision,30,middle,macro_f1,-0.005239222656356124
vision,30,back,macro_f1,0.014136321885322323
vision,50,front,macro_f1,0.003897141673594451
vision,50,middle,macro_f1,-0.00628868457599796
vision,50,back,macro_f1,0.011228796367461213
