modality,ratio,location,metric,delta
text,10,front,mae,0.0030516386032104492
text,10,middle,mae,0.009044408798217773
text,10,back,mae,0.009837925434112549
text,30,front,mae,0.02348649501800537
text,30,middle,mae,0.02298140525817871
text,30,back,mae,0.01433718204498291
text,50,front,mae,0.05498695373535156
text,50,middle,mae,0.04006826877593994
text,50,back,mae,0.02951371669769287
audio,10,front,mae,0.0001659989356994629
audio,10,middle,mae,-0.0008584856986999512
audio,10,back,mae,-9.41157341003418e-05
audio,30,front,mae,0.0024970173835754395
audio,30,middle,mae,-0.0008043646812438965
audio,30,back,mae,-0.000453948974609375
audio,50,front,mae,0.0041100382804870605
audio,50,middle,mae,-0.00021409988403320312
audio,50,back,mae,0.00014394521713256836
vision,10,front,mae,-0.0002938508987426758
vision,10,middle,mae,0.0002970099449157715
vision,10,back,mae,0.0010213255882263184
vision,30,front,mae,-3.9637088775634766e-05
vision,30,middle,mae,5.936622619628906e-05
vision,30,back,mae,0.00266951322555542
vision,50,front,mae,0.0001895427703857422
vision,50,middle,mae,0.00017654895782470703
vision,50,back,mae,0.0029363036155700684
