model,condition,metric,seed_mean
mlp,text_10_front,macro_f1,0.5361127510211713
mlp,text_10_middle,macro_f1,0.5338554355579066
mlp,text_10_back,macro_f1,0.531688126947394
mlp,text_30_front,macro_f1,0.5168259445361015
mlp,text_30_middle,macro_f1,0.5287107725312805
mlp,text_30_back,macro_f1,0.5261171305188889
mlp,text_50_front,macro_f1,0.5184860386455667
mlp,text_50_middle,macro_f1,0.5162513922828672
mlp,text_50_back,macro_f1,0.5156839048067295
gru_clean,text_10_front,macro_f1,0.5225524668956542
gru_clean,text_10_middle,macro_f1,0.520647140008396
gru_clean,text_10_back,macro_f1,0.520914440918824
gru_clean,text_30_front,macro_f1,0.5084398910014692
gru_clean,text_30_middle,macro_f1,0.5085795269152652
gru_clean,text_30_back,macro_f1,0.5094477887061387
gru_clean,text_50_front,macro_f1,0.47727979309813345
gru_clean,text_50_middle,macro_f1,0.4716245570798021
gru_clean,text_50_back,macro_f1,0.484513013775463
gru_aug,text_10_front,macro_f1,0.5246099240534824
gru_aug,text_10_middle,macro_f1,0.5253389128751791
gru_aug,text_10_back,macro_f1,0.5222653009015348
gru_aug,text_30_front,macro_f1,0.503129829558199
gru_aug,text_30_middle,macro_f1,0.5024936919213001
gru_aug,text_30_back,macro_f1,0.512652621615406
gru_aug,text_50_front,macro_f1,0.46392891034164746
gru_aug,text_50_middle,macro_f1,0.45865718916842324
gru_aug,text_50_back,macro_f1,0.4896374775049697
state_aug,text_10_front,macro_f1,0.5202626871632023
state_aug,text_10_middle,macro_f1,0.5286468246346366
state_aug,text_10_back,macro_f1,0.5231986337070753
state_aug,text_30_front,macro_f1,0.5107398074789533
state_aug,text_30_middle,macro_f1,0.4997622707256906
state_aug,text_30_back,macro_f1,0.5195882769039727
state_aug,text_50_front,macro_f1,0.4896532998147712
state_aug,text_50_middle,macro_f1,0.48518877383005493
state_aug,text_50_back,macro_f1,0.4920607676455684
smooth_aug,text_10_front,macro_f1,0.5215093345185835
smooth_aug,text_10_middle,macro_f1,0.5261632362843515
smooth_aug,text_10_back,macro_f1,0.5278912864557591
