model,condition,metric,seed_mean
mlp,text_10_front,mae,0.6711121996243795
mlp,text_10_middle,mae,0.6761788725852966
mlp,text_10_back,mae,0.6766307751337687
mlp,text_30_front,mae,0.6918593049049377
mlp,text_30_middle,mae,0.6902858018875122
mlp,text_30_back,mae,0.6798521677652994
mlp,text_50_front,mae,0.7231639822324117
mlp,text_50_middle,mae,0.7068539063135783
mlp,text_50_back,mae,0.6973041693369547
gru_clean,text_10_front,mae,0.6777254939079285
gru_clean,text_10_middle,mae,0.6802640358606974
gru_clean,text_10_back,mae,0.6803676088651022
gru_clean,text_30_front,mae,0.7133843501408895
gru_clean,text_30_middle,mae,0.7023959557215372
gru_clean,text_30_back,mae,0.6949826081593832
gru_clean,text_50_front,mae,0.7515148321787516
gru_clean,text_50_middle,mae,0.7437394460042318
gru_clean,text_50_back,mae,0.7344191471735636
gru_aug,text_10_front,mae,0.6646517515182495
gru_aug,text_10_middle,mae,0.6665910879770914
gru_aug,text_10_back,mae,0.6685290535291036
gru_aug,text_30_front,mae,0.6893103917439779
gru_aug,text_30_middle,mae,0.6887913346290588
gru_aug,text_30_back,mae,0.6814969976743063
gru_aug,text_50_front,mae,0.7136775652567545
gru_aug,text_50_middle,mae,0.7152924537658691
gru_aug,text_50_back,mae,0.7094595829645792
state_aug,text_10_front,mae,0.6693406502405802
state_aug,text_10_middle,mae,0.6720185279846191
state_aug,text_10_back,mae,0.6738795439402262
state_aug,text_30_front,mae,0.6968789100646973
state_aug,text_30_middle,mae,0.701098104317983
state_aug,text_30_back,mae,0.6938888430595398
state_aug,text_50_front,mae,0.7260467410087585
state_aug,text_50_middle,mae,0.73276287317276
state_aug,text_50_back,mae,0.7292870879173279
smooth_aug,text_10_front,mae,0.6746783057848612
smooth_aug,text_10_middle,mae,0.6759332021077474
smooth_aug,text_10_back,mae,0.67808598279953
smooth_aug,text_30_front,mae,0.6979931990305582
smooth_aug,text_30_middle,mae,0.7040212353070577
smooth_aug,text_30_back,mae,0.6981475551923116
smooth_aug,text_50_front,mae,0.7261305451393127
smooth_aug,text_50_middle,mae,0.7344039479891459
smooth_aug,text_50_back,mae,0.7305525541305542
mlp,audio_10_front,mae,0.667020340760549
mlp,audio_10_middle,mae,0.6659626762072245
mlp,audio_10_back,mae,0.6671259800593058
mlp,audio_30_front,mae,0.6693791151046753
mlp,audio_30_middle,mae,0.6657949288686117
mlp,audio_30_back,mae,0.6668506662050883
mlp,audio_50_front,mae,0.6710179448127747
mlp,audio_50_middle,mae,0.6663953264554342
mlp,audio_50_back,mae,0.6673467953999838
gru_clean,audio_10_front,mae,0.669331689675649
gru_clean,audio_10_middle,mae,0.6664608319600424
gru_clean,audio_10_back,mae,0.6691048343976339
gru_clean,audio_30_front,mae,0.6667553981145223
gru_clean,audio_30_middle,mae,0.6619519392649332
gru_clean,audio_30_back,mae,0.6658288637797037
gru_clean,audio_50_front,mae,0.6656472484270731
gru_clean,audio_50_middle,mae,0.6602232456207275
gru_clean,audio_50_back,mae,0.664296011130015
gru_aug,audio_10_front,mae,0.6572698950767517
gru_aug,audio_10_middle,mae,0.6556069254875183
gru_aug,audio_10_back,mae,0.6569189429283142
gru_aug,audio_30_front,mae,0.6558773517608643
gru_aug,audio_30_middle,mae,0.6540254950523376
gru_aug,audio_30_back,mae,0.6553929845492045
gru_aug,audio_50_front,mae,0.6551149686177572
gru_aug,audio_50_middle,mae,0.6544366677602133
gru_aug,audio_50_back,mae,0.6563563744227091
state_aug,audio_10_front,mae,0.6615458528200785
state_aug,audio_10_middle,mae,0.6596860686937968
state_aug,audio_10_back,mae,0.6606750885645548
state_aug,audio_30_front,mae,0.6625174880027771
state_aug,audio_30_middle,mae,0.6599077184995016
state_aug,audio_30_back,mae,0.6596556504567465
state_aug,audio_50_front,mae,0.6639688412348429
state_aug,audio_50_middle,mae,0.6630456646283468
state_aug,audio_50_back,mae,0.6623746951421102
smooth_aug,audio_10_front,mae,0.6684566140174866
smooth_aug,audio_10_middle,mae,0.666374683380127
smooth_aug,audio_10_back,mae,0.6669799288113912
smooth_aug,audio_30_front,mae,0.670193592707316
smooth_aug,audio_30_middle,mae,0.6680108904838562
smooth_aug,audio_30_back,mae,0.6668122808138529
smooth_aug,audio_50_front,mae,0.6742841800053915
smooth_aug,audio_50_middle,mae,0.6748207211494446
smooth_aug,audio_50_back,mae,0.6722749272982279
mlp,vision_10_front,mae,0.6665395895640055
mlp,vision_10_middle,mae,0.6670355995496114
mlp,vision_10_back,mae,0.6676850914955139
mlp,vision_30_front,mae,0.6669641335805258
mlp,vision_30_middle,mae,0.6667864521344503
mlp,vision_30_back,mae,0.6692433555920919
mlp,vision_50_front,mae,0.667426864306132
mlp,vision_50_middle,mae,0.6671109000841776
mlp,vision_50_back,mae,0.6695395906766256
gru_clean,vision_10_front,mae,0.6702827413876852
gru_clean,vision_10_middle,mae,0.6699796915054321
gru_clean,vision_10_back,mae,0.6713706453641256
gru_clean,vision_30_front,mae,0.6688575545946757
gru_clean,vision_30_middle,mae,0.6690714756647745
gru_clean,vision_30_back,mae,0.6730412443478903
gru_clean,vision_50_front,mae,0.6713985800743103
gru_clean,vision_50_middle,mae,0.6731489896774292
gru_clean,vision_50_back,mae,0.6767802039782206
gru_aug,vision_10_front,mae,0.6582447091738383
gru_aug,vision_10_middle,mae,0.6586098273595175
gru_aug,vision_10_back,mae,0.6583857337633768
gru_aug,vision_30_front,mae,0.6583405335744222
gru_aug,vision_30_middle,mae,0.658990482489268
gru_aug,vision_30_back,mae,0.6600396633148193
gru_aug,vision_50_front,mae,0.6610429088274637
gru_aug,vision_50_middle,mae,0.6612599690755209
gru_aug,vision_50_back,mae,0.6622880498568217
state_aug,vision_10_front,mae,0.661350150903066
state_aug,vision_10_middle,mae,0.6621211965878805
state_aug,vision_10_back,mae,0.6616273323694865
state_aug,vision_30_front,mae,0.6613878409067789
state_aug,vision_30_middle,mae,0.6634606719017029
state_aug,vision_30_back,mae,0.6625913778940836
state_aug,vision_50_front,mae,0.6653357942899069
state_aug,vision_50_middle,mae,0.666479746500651
state_aug,vision_50_back,mae,0.6660956541697184
smooth_aug,vision_10_front,mae,0.668571949005127
smooth_aug,vision_10_middle,mae,0.6688271363576254
smooth_aug,vision_10_back,mae,0.6686644951502482
smooth_aug,vision_30_front,mae,0.6692729393641154
smooth_aug,vision_30_middle,mae,0.6702123681704203
smooth_aug,vision_30_back,mae,0.6704160372416178
smooth_aug,vision_50_front,mae,0.6739165385564169
smooth_aug,vision_50_middle,mae,0.6740022699038187
smooth_aug,vision_50_back,mae,0.6734074354171753
